Id,ActivityDay,TotalSteps,TotalDistance,Calories,StepTotal,TotalTimeInBed
1503960366,04-12-16,13162,8.5,1985,13162,346
1503960366,4/13/2016,10735,6.96999979,1797,10735,407
1503960366,4/14/2016,10460,6.739999771,1776,10460,442
1503960366,4/15/2016,9762,6.28000021,1745,9762,367
1503960366,4/16/2016,12669,8.159999847,1863,12669,712
1503960366,4/17/2016,9705,6.480000019,1728,9705,320
1503960366,4/18/2016,13019,8.590000153,1921,13019,377
1503960366,4/19/2016,15506,9.880000114,2035,15506,364
1503960366,4/20/2016,10544,6.679999828,1786,10544,384
1503960366,4/21/2016,9819,6.340000153,1775,9819,449
1503960366,4/22/2016,12764,8.130000114,1827,12764,323
1503960366,4/23/2016,14371,9.039999962,1949,14371,274
1503960366,4/24/2016,10039,6.409999847,1788,10039,393
1503960366,4/25/2016,15355,9.800000191,2013,15355,354
1503960366,4/26/2016,13755,8.789999962,1970,13755,425
1503960366,4/27/2016,18134,12.21000004,2159,18134,396
1503960366,4/28/2016,13154,8.529999733,1898,13154,309
1503960366,4/29/2016,11181,7.150000095,1837,11181,296
1503960366,4/30/2016,14673,9.25,1947,14673,264
1503960366,05-01-16,10602,6.809999943,1820,10602,367
1503960366,05-02-16,14727,9.710000038,2004,14727,349
1503960366,05-03-16,15103,9.659999847,1990,15103,611
1503960366,05-04-16,11100,7.150000095,1819,11100,342
1503960366,05-05-16,14070,8.899999619,1959,14070,403
1503960366,05-06-16,12159,8.029999733,1896,12159,306
1503960366,05-07-16,11992,7.710000038,1821,11992,127
1503960366,05-08-16,10060,6.579999924,1740,10060,142
1503960366,05-09-16,12022,7.71999979,1819,12022,961
1503960366,05-10-16,12207,7.769999981,1859,12207,154
1503960366,05-11-16,12770,8.130000114,1783,12770,961
1503960366,05-12-16,0,0,0,0,961
1624580081,04-12-16,8163,5.309999943,1432,8163,961
1624580081,4/13/2016,7007,4.550000191,1411,7007,775
1624580081,4/14/2016,9107,5.920000076,1572,9107,422
1624580081,4/15/2016,1510,0.980000019,1344,1510,499
1624580081,4/16/2016,5370,3.49000001,1463,5370,315
1624580081,4/17/2016,6175,4.059999943,1554,6175,178
1624580081,4/18/2016,10536,7.409999847,1604,10536,546
1624580081,4/19/2016,2916,1.899999976,1435,2916,565
1624580081,4/20/2016,4974,3.230000019,1446,4974,568
1624580081,4/21/2016,6349,4.130000114,1467,6349,573
1624580081,4/22/2016,4026,2.619999886,1470,4026,567
1624580081,4/23/2016,8538,5.550000191,1562,8538,498
1624580081,4/24/2016,6076,3.950000048,1617,6076,540
1624580081,4/25/2016,6497,4.21999979,1492,6497,510
1624580081,4/26/2016,2826,1.840000033,1402,2826,514
1624580081,4/27/2016,8367,5.440000057,1670,8367,545
1624580081,4/28/2016,2759,1.789999962,1401,2759,554
1624580081,4/29/2016,2390,1.549999952,1404,2390,591
1624580081,4/30/2016,6474,4.300000191,1655,6474,531
1624580081,05-01-16,36019,28.03000069,2690,36019,545
1624580081,05-02-16,7155,4.929999828,1497,7155,545
1624580081,05-03-16,2100,1.370000005,1334,2100,510
1624580081,05-04-16,2193,1.429999948,1368,2193,607
1624580081,05-05-16,2470,1.610000014,1370,2470,546
1624580081,05-06-16,1727,1.120000005,1341,1727,543
1624580081,05-07-16,2104,1.370000005,1474,2104,560
1624580081,05-08-16,3427,2.230000019,1427,3427,485
1624580081,05-09-16,1732,1.129999995,1328,1732,548
1624580081,05-10-16,2969,1.929999948,1393,2969,521
1624580081,05-11-16,3134,2.039999962,1359,3134,568
1624580081,05-12-16,2971,1.929999948,1002,2971,556
1644430081,04-12-16,10694,7.769999981,3199,10694,380
1644430081,4/13/2016,8001,5.820000172,2902,8001,553
1644430081,4/14/2016,11037,8.020000458,3226,11037,485
1644430081,4/15/2016,5263,3.829999924,2750,5263,69
1644430081,4/16/2016,15300,11.11999989,3493,15300,531
1644430081,4/17/2016,8757,6.369999886,3011,8757,489
1644430081,4/18/2016,7132,5.190000057,2806,7132,504
1644430081,4/19/2016,11256,8.180000305,3300,11256,602
1644430081,4/20/2016,2436,1.769999981,2430,2436,557
1644430081,4/21/2016,1223,0.889999986,2140,1223,514
1644430081,4/22/2016,3673,2.670000076,2344,3673,484
1644430081,4/23/2016,6637,4.829999924,2677,6637,461
1644430081,4/24/2016,3321,2.410000086,2413,3321,386
1644430081,4/25/2016,3580,2.599999905,2497,3580,459
1644430081,4/26/2016,9919,7.210000038,3123,9919,471
1644430081,4/27/2016,3032,2.200000048,2489,3032,490
1644430081,4/28/2016,9405,6.840000153,3108,9405,499
1644430081,4/29/2016,3176,2.309999943,2498,3176,450
1644430081,4/30/2016,18213,13.23999977,3846,18213,473
1644430081,05-01-16,6132,4.460000038,2696,6132,469
1644430081,05-02-16,3758,2.730000019,2580,3758,456
1644430081,05-03-16,12850,9.340000153,3324,12850,397
1644430081,05-04-16,2309,1.679999948,2222,2309,556
1644430081,05-05-16,4363,3.190000057,2463,4363,510
1644430081,05-06-16,9787,7.119999886,3328,9787,566
1644430081,05-07-16,13372,9.720000267,3404,13372,522
1644430081,05-08-16,6724,4.889999866,2987,6724,395
1644430081,05-09-16,6643,4.829999924,3008,6643,305
1644430081,05-10-16,9167,6.659999847,2799,9167,512
1644430081,05-11-16,1329,0.970000029,1276,1329,476
1844505072,04-12-16,6697,4.429999828,2030,6697,372
1844505072,4/13/2016,4929,3.25999999,1860,4929,526
1844505072,4/14/2016,7937,5.25,2130,7937,467
1844505072,4/15/2016,3844,2.539999962,1725,3844,371
1844505072,4/16/2016,3414,2.25999999,1657,3414,540
1844505072,4/17/2016,4525,2.99000001,1793,4525,423
1844505072,4/18/2016,4597,3.039999962,1814,4597,478
1844505072,4/19/2016,197,0.129999995,1366,197,382
1844505072,4/20/2016,8,0.01,1349,8,626
1844505072,4/21/2016,8054,5.320000172,2062,8054,384
1844505072,4/22/2016,5372,3.549999952,1827,5372,500
1844505072,4/23/2016,3570,2.359999895,1645,3570,336
1844505072,4/24/2016,0,0,1347,0,480
1844505072,4/25/2016,0,0,1347,0,512
1844505072,4/26/2016,0,0,1347,0,443
1844505072,4/27/2016,4,0,1348,4,456
1844505072,4/28/2016,6907,4.570000172,1992,6907,452
1844505072,4/29/2016,4920,3.25,1856,4920,541
1844505072,4/30/2016,4014,2.670000076,1763,4014,77
1844505072,05-01-16,2573,1.700000048,1541,2573,332
1844505072,05-02-16,0,0,1348,0,536
1844505072,05-03-16,4059,2.680000067,1742,4059,248
1844505072,05-04-16,2080,1.370000005,1549,2080,408
1844505072,05-05-16,2237,1.480000019,1589,2237,402
1844505072,05-06-16,44,0.029999999,1351,44,494
1844505072,05-07-16,0,0,1347,0,557
1844505072,05-08-16,0,0,1347,0,491
1844505072,05-09-16,0,0,1347,0,522
1844505072,05-10-16,0,0,1347,0,551
1844505072,05-11-16,0,0,1347,0,498
1844505072,05-12-16,0,0,665,0,543
1927972279,04-12-16,678,0.469999999,2220,678,65
1927972279,4/13/2016,356,0.25,2151,356,550
1927972279,4/14/2016,2163,1.5,2383,2163,722
1927972279,4/15/2016,980,0.680000007,2221,980,501
1927972279,4/16/2016,0,0,2064,0,506
1927972279,4/17/2016,0,0,2063,0,516
1927972279,4/18/2016,244,0.170000002,2111,244,307
1927972279,4/19/2016,0,0,2063,0,522
1927972279,4/20/2016,0,0,2063,0,546
1927972279,4/21/2016,0,0,2064,0,516
1927972279,4/22/2016,149,0.100000001,2093,149,500
1927972279,4/23/2016,2945,2.039999962,2499,2945,506
1927972279,4/24/2016,2090,1.450000048,2324,2090,512
1927972279,4/25/2016,152,0.109999999,2100,152,491
1927972279,4/26/2016,3761,2.599999905,2638,3761,530
1927972279,4/27/2016,0,0,2063,0,638
1927972279,4/28/2016,1675,1.159999967,2351,1675,565
1927972279,4/29/2016,0,0,2063,0,517
1927972279,4/30/2016,0,0,2064,0,558
1927972279,05-01-16,2704,1.870000005,2411,2704,321
1927972279,05-02-16,3790,2.619999886,2505,3790,526
1927972279,05-03-16,1326,0.920000017,2195,1326,448
1927972279,05-04-16,1786,1.24000001,2338,1786,641
1927972279,05-05-16,0,0,2063,0,104
1927972279,05-06-16,2091,1.450000048,2383,2091,338
1927972279,05-07-16,1510,1.039999962,2229,1510,451
1927972279,05-08-16,0,0,2063,0,458
1927972279,05-09-16,0,0,2063,0,85
1927972279,05-10-16,0,0,2063,0,501
1927972279,05-11-16,0,0,2063,0,595
1927972279,05-12-16,0,0,1383,0,346
2022484408,04-12-16,11875,8.340000153,2390,11875,500
2022484408,4/13/2016,12024,8.5,2601,12024,458
2022484408,4/14/2016,10690,7.5,2312,10690,430
2022484408,4/15/2016,11034,8.029999733,2525,11034,597
2022484408,4/16/2016,10100,7.090000153,2177,10100,376
2022484408,4/17/2016,15112,11.39999962,2782,15112,414
2022484408,4/18/2016,14131,10.06999969,2770,14131,495
2022484408,4/19/2016,11548,8.529999733,2489,11548,495
2022484408,4/20/2016,15112,10.67000008,2897,15112,496
2022484408,4/21/2016,12453,8.739999771,3158,12453,541
2022484408,4/22/2016,12954,9.329999924,2638,12954,65
2022484408,4/23/2016,6001,4.210000038,2069,6001,375
2022484408,4/24/2016,13481,10.27999973,2529,13481,494
2022484408,4/25/2016,11369,8.010000229,2470,11369,457
2022484408,4/26/2016,10119,7.190000057,2793,10119,406
2022484408,4/27/2016,10159,7.130000114,2463,10159,492
2022484408,4/28/2016,10140,7.119999886,2296,10140,379
2022484408,4/29/2016,10245,7.190000057,2611,10245,499
2022484408,4/30/2016,18387,12.90999985,2732,18387,107
2022484408,05-01-16,10538,7.400000095,2380,10538,424
2022484408,05-02-16,10379,7.289999962,2473,10379,462
2022484408,05-03-16,12183,8.739999771,2752,12183,469
2022484408,05-04-16,11768,8.289999962,2649,11768,417
2022484408,05-05-16,11895,8.350000381,2609,11895,345
2022484408,05-06-16,10227,7.179999828,2498,10227,391
2022484408,05-07-16,6708,4.710000038,1995,6708,374
2022484408,05-08-16,3292,2.309999943,1848,3292,442
2022484408,05-09-16,13379,9.390000343,2709,13379,108
2022484408,05-10-16,12798,8.979999542,2797,12798,353
2022484408,05-11-16,13272,9.319999695,2544,13272,459
2022484408,05-12-16,9117,6.409999847,1853,9117,542
2026352035,04-12-16,4414,2.74000001,1459,4414,450
2026352035,4/13/2016,4993,3.099999905,1521,4993,363
2026352035,4/14/2016,3335,2.069999933,1431,3335,513
2026352035,4/15/2016,3821,2.369999886,1444,3821,402
2026352035,4/16/2016,2547,1.580000043,1373,2547,436
2026352035,4/17/2016,838,0.519999981,1214,838,391
2026352035,4/18/2016,3325,2.059999943,1419,3325,533
2026352035,4/19/2016,2424,1.5,1356,2424,426
2026352035,4/20/2016,7222,4.480000019,1667,7222,530
2026352035,4/21/2016,2467,1.529999971,1370,2467,501
2026352035,4/22/2016,2915,1.809999943,1399,2915,137
2026352035,4/23/2016,12357,7.710000038,1916,12357,121
2026352035,4/24/2016,3490,2.160000086,1401,3490,179
2026352035,4/25/2016,6017,3.730000019,1576,6017,129
2026352035,4/26/2016,5933,3.680000067,1595,5933,134
2026352035,4/27/2016,6088,3.769999981,1593,6088,439
2026352035,4/28/2016,6375,3.950000048,1649,6375,430
2026352035,4/29/2016,7604,4.710000038,1692,7604,415
2026352035,4/30/2016,4729,2.930000067,1506,4729,257
2026352035,05-01-16,3609,2.279999971,1447,3609,406
2026352035,05-02-16,7018,4.349999905,1690,7018,612
2026352035,05-03-16,5992,3.720000029,1604,5992,312
2026352035,05-04-16,6564,4.070000172,1658,6564,487
2026352035,05-05-16,12167,7.539999962,1926,12167,468
2026352035,05-06-16,8198,5.079999924,1736,8198,434
2026352035,05-07-16,4193,2.599999905,1491,4193,475
2026352035,05-08-16,5528,3.450000048,1555,5528,506
2026352035,05-09-16,10685,6.619999886,1869,10685,380
2026352035,05-10-16,254,0.159999996,1141,254,429
2026352035,05-11-16,8580,5.320000172,1698,8580,449
2026352035,05-12-16,8891,5.510000229,1364,8891,461
2320127002,04-12-16,10725,7.489999771,2124,10725,447
2320127002,4/13/2016,7275,4.900000095,2003,7275,501
2320127002,4/14/2016,3973,2.680000067,1696,3973,373
2320127002,4/15/2016,5205,3.50999999,1801,5205,434
2320127002,4/16/2016,5057,3.410000086,1724,5057,428
2320127002,4/17/2016,6198,4.179999828,1852,6198,449
2320127002,4/18/2016,6559,4.420000076,1905,6559,543
2320127002,4/19/2016,5997,4.039999962,1811,5997,543
2320127002,4/20/2016,7192,4.849999905,1922,7192,458
2320127002,4/21/2016,3404,2.289999962,1610,3404,431
2320127002,4/22/2016,5583,3.75999999,1851,5583,366
2320127002,4/23/2016,5079,3.420000076,1804,5079,442
2320127002,4/24/2016,4165,2.809999943,1725,4165,464
2320127002,4/25/2016,3588,2.420000076,1654,3588,488
2320127002,4/26/2016,3409,2.299999952,1632,3409,418
2320127002,4/27/2016,1715,1.159999967,1481,1715,409
2320127002,4/28/2016,1532,1.029999971,1473,1532,686
2320127002,4/29/2016,924,0.620000005,1410,924,402
2320127002,4/30/2016,4571,3.079999924,1779,4571,541
2320127002,05-01-16,772,0.519999981,1403,772,410
2320127002,05-02-16,3634,2.450000048,1613,3634,678
2320127002,05-03-16,7443,5.019999981,1878,7443,431
2320127002,05-04-16,1201,0.810000002,1426,1201,353
2320127002,05-05-16,5202,3.50999999,1780,5202,725
2320127002,05-06-16,4878,3.289999962,1742,4878,640
2320127002,05-07-16,7379,4.96999979,1972,7379,468
2320127002,05-08-16,5161,3.480000019,1821,5161,453
2320127002,05-09-16,3090,2.079999924,1630,3090,391
2320127002,05-10-16,6227,4.199999809,1899,6227,457
2320127002,05-11-16,6424,4.329999924,1903,6424,495
2320127002,05-12-16,2661,1.789999962,1125,2661,843
2347167796,04-12-16,10113,6.829999924,2344,10113,686
2347167796,4/13/2016,10352,7.010000229,2038,10352,471
2347167796,4/14/2016,10129,6.699999809,2010,10129,429
2347167796,4/15/2016,10465,6.920000076,2133,10465,470
2347167796,4/16/2016,22244,15.07999992,2670,22244,464
2347167796,4/17/2016,5472,3.619999886,1882,5472,434
2347167796,4/18/2016,8247,5.449999809,1944,8247,470
2347167796,4/19/2016,6711,4.440000057,2346,6711,608
2347167796,4/20/2016,10999,7.269999981,2198,10999,494
2347167796,4/21/2016,10080,6.75,2048,10080,443
2347167796,4/22/2016,7804,5.159999847,1946,7804,486
2347167796,4/23/2016,16901,11.36999989,2629,16901,475
2347167796,4/24/2016,9471,6.260000229,2187,9471,438
2347167796,4/25/2016,9482,6.380000114,2095,9482,458
2347167796,4/26/2016,5980,3.950000048,1861,5980,497
2347167796,4/27/2016,11423,7.579999924,2194,11423,413
2347167796,4/28/2016,5439,3.599999905,1854,5439,445
2347167796,4/29/2016,42,0.029999999,403,42,583
2873212765,04-12-16,8796,5.909999847,1982,8796,553
2873212765,4/13/2016,7618,5.119999886,2004,7618,465
2873212765,4/14/2016,7910,5.320000172,1893,7910,480
2873212765,4/15/2016,8482,5.699999809,2063,8482,437
2873212765,4/16/2016,9685,6.650000095,2148,9685,366
2873212765,4/17/2016,2524,1.700000048,1529,2524,402
2873212765,4/18/2016,7762,5.239999771,1890,7762,615
2873212765,4/19/2016,7948,5.369999886,1956,7948,461
2873212765,4/20/2016,9202,6.300000191,2094,9202,377
2873212765,4/21/2016,8859,5.980000019,1970,8859,452
2873212765,4/22/2016,7286,4.900000095,2241,7286,372
2873212765,4/23/2016,9317,6.349999905,2021,9317,485
2873212765,4/24/2016,6873,4.679999828,1898,6873,433
2873212765,4/25/2016,7373,4.949999809,1907,7373,398
2873212765,4/26/2016,8242,5.539999962,1882,8242,553
2873212765,4/27/2016,3516,2.359999895,1966,3516,543
2873212765,4/28/2016,7913,5.409999847,1835,7913,634
2873212765,4/29/2016,7365,4.949999809,1780,7365,78
2873212765,4/30/2016,8452,5.679999828,1830,8452,562
2873212765,05-01-16,7399,4.96999979,1739,7399,476
2873212765,05-02-16,7525,5.059999943,1878,7525,398
2873212765,05-03-16,7412,4.980000019,1906,7412,350
2873212765,05-04-16,8278,5.559999943,2015,8278,510
2873212765,05-05-16,8314,5.610000134,1971,8314,492
2873212765,05-06-16,7063,4.75,1910,7063,502
2873212765,05-07-16,4940,3.380000114,1897,4940,550
2873212765,05-08-16,8168,5.539999962,2096,8168,546
2873212765,05-09-16,7726,5.190000057,1906,7726,539
2873212765,05-10-16,8275,5.559999943,1962,8275,367
2873212765,05-11-16,6440,4.329999924,1826,6440,557
2873212765,05-12-16,7566,5.110000134,1431,7566,416
3372868164,04-12-16,4747,3.24000001,1788,4747,636
3372868164,4/13/2016,9715,6.630000114,2093,9715,575
3372868164,4/14/2016,8844,6.03000021,2065,8844,415
3372868164,4/15/2016,7451,5.079999924,1908,7451,698
3372868164,4/16/2016,6905,4.730000019,1908,6905,507
3372868164,4/17/2016,8199,5.880000114,1964,8199,603
3372868164,4/18/2016,6798,4.639999866,2014,6798,522
3372868164,4/19/2016,7711,5.260000229,1985,7711,260
3372868164,4/20/2016,4880,3.329999924,1867,4880,441
3372868164,4/21/2016,8857,6.070000172,2124,8857,406
3372868164,4/22/2016,3843,2.619999886,1669,3843,387
3372868164,4/23/2016,7396,5.070000172,1995,7396,679
3372868164,4/24/2016,6731,4.590000153,1921,6731,535
3372868164,4/25/2016,5995,4.090000153,2010,5995,386
3372868164,4/26/2016,8283,5.789999962,2057,8283,366
3372868164,4/27/2016,7904,5.420000076,2095,7904,446
3372868164,4/28/2016,5512,3.75999999,1972,5512,458
3372868164,4/29/2016,9135,6.230000019,2044,9135,535
3372868164,4/30/2016,5250,3.579999924,1946,5250,424
3372868164,05-01-16,3077,2.099999905,1237,3077,457
3977333714,04-12-16,8856,5.980000019,1450,8856,435
3977333714,4/13/2016,10035,6.710000038,1495,10035,546
3977333714,4/14/2016,7641,5.110000134,1433,7641,514
3977333714,4/15/2016,9010,6.059999943,1468,9010,415
3977333714,4/16/2016,13459,9,1625,13459,446
3977333714,4/17/2016,10415,6.96999979,1529,10415,467
3977333714,4/18/2016,11663,7.800000191,1584,11663,453
3977333714,4/19/2016,12414,8.779999733,1638,12414,447
3977333714,4/20/2016,11658,7.829999924,1554,11658,424
3977333714,4/21/2016,6093,4.079999924,1397,6093,426
3977333714,4/22/2016,8911,5.960000038,1481,8911,482
3977333714,4/23/2016,12058,8.069999695,1638,12058,418
3977333714,4/24/2016,14112,10,1655,14112,455
3977333714,4/25/2016,11177,8.479999542,1570,11177,491
3977333714,4/26/2016,11388,7.619999886,1551,11388,462
3977333714,4/27/2016,7193,5.039999962,1377,7193,334
3977333714,4/28/2016,7114,4.880000114,1407,7114,569
3977333714,4/29/2016,10645,7.75,1545,10645,497
3977333714,4/30/2016,13238,9.199999809,1650,13238,481
3977333714,05-01-16,10414,7.070000172,1501,10414,480
3977333714,05-02-16,16520,11.05000019,1760,16520,535
3977333714,05-03-16,14335,9.590000153,1710,14335,82
3977333714,05-04-16,13559,9.43999958,1628,13559,61
3977333714,05-05-16,12312,8.579999924,1618,12312,525
3977333714,05-06-16,11677,8.279999733,1590,11677,465
3977333714,05-07-16,11550,7.730000019,1574,11550,476
3977333714,05-08-16,13585,9.090000153,1633,13585,386
3977333714,05-09-16,14687,10.07999992,1667,14687,483
3977333714,05-10-16,13072,8.779999733,1630,13072,502
3977333714,05-11-16,746,0.5,52,746,411
4020332650,04-12-16,8539,6.119999886,3654,8539,448
4020332650,4/13/2016,0,0,1981,0,704
4020332650,4/14/2016,108,0.079999998,2011,108,447
4020332650,4/15/2016,1882,1.350000024,2951,1882,500
4020332650,4/16/2016,1982,1.419999957,3051,1982,479
4020332650,4/17/2016,16,0.01,1990,16,367
4020332650,4/18/2016,62,0.039999999,1995,62,489
4020332650,4/19/2016,0,0,1980,0,407
4020332650,4/20/2016,0,0,1980,0,459
4020332650,4/21/2016,0,0,1980,0,461
4020332650,4/22/2016,0,0,1980,0,436
4020332650,4/23/2016,0,0,1980,0,333
4020332650,4/24/2016,0,0,1980,0,548
4020332650,4/25/2016,0,0,1980,0,510
4020332650,4/26/2016,0,0,1980,0,438
4020332650,4/27/2016,0,0,1980,0,463
4020332650,4/28/2016,0,0,1980,0,457
4020332650,4/29/2016,0,0,1980,0,493
4020332650,4/30/2016,0,0,1980,0,337
4020332650,05-01-16,0,0,1980,0,75
4020332650,05-02-16,475,0.340000004,2207,475,356
4020332650,05-03-16,4496,3.220000029,2828,4496,487
4020332650,05-04-16,10252,7.349999905,3879,10252,455
4020332650,05-05-16,11728,8.430000305,3429,11728,533
4020332650,05-06-16,4369,3.130000114,2704,4369,689
4020332650,05-07-16,6132,4.400000095,2975,6132,591
4020332650,05-08-16,5862,4.199999809,3089,5862,451
4020332650,05-09-16,4556,3.269999981,2785,4556,421
4020332650,05-10-16,5546,3.980000019,2926,5546,409
4020332650,05-11-16,3689,2.650000095,2645,3689,417
4020332650,05-12-16,590,0.419999987,1120,590,469
4057192912,04-12-16,5394,4.03000021,2286,5394,591
4057192912,4/13/2016,5974,4.46999979,2306,5974,492
4057192912,4/14/2016,0,0,1776,0,402
4057192912,4/15/2016,3984,2.950000048,1527,3984,402
4319703577,04-12-16,7753,5.199999809,2115,7753,584
4319703577,4/13/2016,8204,5.5,2135,8204,600
4319703577,4/14/2016,10210,6.880000114,2302,10210,556
4319703577,4/15/2016,5664,3.799999952,1985,5664,562
4319703577,4/16/2016,4744,3.180000067,1884,4744,555
4319703577,4/17/2016,29,0.02,1464,29,539
4319703577,4/18/2016,2276,1.549999952,1632,2276,385
4319703577,4/19/2016,8925,5.989999771,2200,8925,429
4319703577,4/20/2016,8954,6.010000229,2220,8954,477
4319703577,4/21/2016,3702,2.480000019,1792,3702,417
4319703577,4/22/2016,4500,3.019999981,1886,4500,355
4319703577,4/23/2016,4935,3.309999943,1945,4935,513
4319703577,4/24/2016,4081,2.74000001,1880,4081,606
4319703577,4/25/2016,9259,6.210000038,2314,9259,399
4319703577,4/26/2016,9899,6.639999866,2236,9899,391
4319703577,4/27/2016,10780,7.230000019,2324,10780,387
4319703577,4/28/2016,10817,7.28000021,2367,10817,546
4319703577,4/29/2016,7990,5.360000134,2175,7990,493
4319703577,4/30/2016,8221,5.519999981,2092,8221,552
4319703577,05-01-16,1251,0.839999974,1593,1251,503
4319703577,05-02-16,9261,6.239999771,2270,9261,377
4319703577,05-03-16,9648,6.46999979,2235,9648,547
4319703577,05-04-16,10429,7.019999981,2282,10429,407
4319703577,05-05-16,13658,9.489999771,2530,13658,360
4319703577,05-06-16,9524,6.420000076,2266,9524,428
4319703577,05-07-16,7937,5.329999924,2158,7937,416
4319703577,05-08-16,3672,2.460000038,1792,3672,406
4319703577,05-09-16,10378,6.960000038,2345,10378,360
4319703577,05-10-16,9487,6.369999886,2260,9487,527
4319703577,05-11-16,9129,6.130000114,2232,9129,423
4319703577,05-12-16,17,0.01,257,17,545
4388161847,04-12-16,10122,7.78000021,2955,10122,463
4388161847,4/13/2016,10993,8.449999809,3092,10993,
4388161847,4/14/2016,8863,6.820000172,2998,8863,
4388161847,4/15/2016,8758,6.730000019,3066,8758,
4388161847,4/16/2016,6580,5.059999943,3073,6580,
4388161847,4/17/2016,4660,3.579999924,2572,4660,
4388161847,4/18/2016,11009,9.100000381,3274,11009,
4388161847,4/19/2016,10181,7.829999924,3015,10181,
4388161847,4/20/2016,10553,8.119999886,3083,10553,
4388161847,4/21/2016,10055,7.730000019,3069,10055,
4388161847,4/22/2016,12139,9.340000153,3544,12139,
4388161847,4/23/2016,13236,10.18000031,3306,13236,
4388161847,4/24/2016,10243,7.880000114,2885,10243,
4388161847,4/25/2016,12961,9.970000267,3288,12961,
4388161847,4/26/2016,9461,7.28000021,2929,9461,
4388161847,4/27/2016,11193,8.609999657,3074,11193,
4388161847,4/28/2016,10074,7.75,2969,10074,
4388161847,4/29/2016,9232,7.099999905,2979,9232,
4388161847,4/30/2016,12533,9.640000343,3283,12533,
4388161847,05-01-16,10255,7.889999866,2926,10255,
4388161847,05-02-16,10096,8.399999619,3147,10096,
4388161847,05-03-16,12727,9.789999962,3290,12727,
4388161847,05-04-16,12375,9.520000458,3162,12375,
4388161847,05-05-16,9603,7.380000114,2899,9603,
4388161847,05-06-16,13175,10.13000011,3425,13175,
4388161847,05-07-16,22770,17.54000092,4022,22770,
4388161847,05-08-16,17298,14.38000011,3934,17298,
4388161847,05-09-16,10218,7.860000134,3013,10218,
4388161847,05-10-16,10299,7.920000076,3061,10299,
4388161847,05-11-16,10201,7.840000153,2954,10201,
4388161847,05-12-16,3369,2.589999914,1623,3369,
4445114986,04-12-16,3276,2.200000048,2113,3276,
4445114986,4/13/2016,2961,1.99000001,2095,2961,
4445114986,4/14/2016,3974,2.670000076,2194,3974,
4445114986,4/15/2016,7198,4.829999924,2496,7198,
4445114986,4/16/2016,3945,2.650000095,2180,3945,
4445114986,4/17/2016,2268,1.519999981,1933,2268,
4445114986,4/18/2016,6155,4.239999771,2248,6155,
4445114986,4/19/2016,2064,1.389999986,1954,2064,
4445114986,4/20/2016,2072,1.389999986,1974,2072,
4445114986,4/21/2016,3809,2.559999943,2150,3809,
4445114986,4/22/2016,6831,4.579999924,2432,6831,
4445114986,4/23/2016,4363,2.930000067,2149,4363,
4445114986,4/24/2016,5002,3.359999895,2247,5002,
4445114986,4/25/2016,3385,2.269999981,2070,3385,
4445114986,4/26/2016,6326,4.409999847,2291,6326,
4445114986,4/27/2016,7243,5.03000021,2361,7243,
